:START_ID,:END_ID,:TYPE
"West Virginia Geological and Economic Survey, P.O. Box 879, Morganstown, WV 26505-0879, United States","East Carolina University",COAUTHORED_WITH
"Department of Physics and Astronomy and Institute for Surface and Interface Science","Instituto de Estructura de la Materia, Consejo Superior de Investigaciones Científicas, Serrano 121, Madrid, 28006, Spain",COAUTHORED_WITH
"East Carolina University","Air Force Research Laboratory, United States",COAUTHORED_WITH
"East Carolina University","Southern Illinois University",COAUTHORED_WITH
"East Carolina University","Southern Illinois University",COAUTHORED_WITH
"East Carolina University","Florida Atlantic University",COAUTHORED_WITH
"East Carolina University","Florida Atlantic University",COAUTHORED_WITH
"University of Arizona","East Carolina University",COAUTHORED_WITH
"National Aerospace University KhAI","University of Banking of the National Bank of Ukraine",COAUTHORED_WITH
"California State University – Fullerton","East Carolina University",COAUTHORED_WITH
"Grambling State University","Cleveland State University",COAUTHORED_WITH
"Oregon Institute of Technology","Portland State University",COAUTHORED_WITH
"East Carolina University","American University",COAUTHORED_WITH
"University of Houston","University of New Hampshire",COAUTHORED_WITH
"Woxsen School of Business, Jubilee Road No. 36, Hyderabad, India","East Carolina University",COAUTHORED_WITH
"University of New Orleans","East Carolina University",COAUTHORED_WITH
"University of New Hampshire","University of Houston",COAUTHORED_WITH
"Jiangsu University of Science and Technology","East Carolina University",COAUTHORED_WITH
"Jiangsu University of Science and Technology","East Carolina University",COAUTHORED_WITH
"Georgia State University","East Carolina University",COAUTHORED_WITH
"Pennsylvania State University","East Carolina University",COAUTHORED_WITH
"Pennsylvania State University","East Carolina University",COAUTHORED_WITH
"Pennsylvania State University","East Carolina University",COAUTHORED_WITH
"Sacred Heart University","East Carolina University",COAUTHORED_WITH
"East Carolina University","University of Cincinnati",COAUTHORED_WITH
"East Carolina University","University of South Carolina",COAUTHORED_WITH
"East Carolina University","University of South Carolina",COAUTHORED_WITH
"East Carolina University","Portland State University",COAUTHORED_WITH
"East Carolina University","Portland State University",COAUTHORED_WITH
"East Carolina University","Portland State University",COAUTHORED_WITH
"East Carolina University","NOVA Southeastern University College of Osteopathic Medicine",COAUTHORED_WITH
"Portland State University","Oregon Institute of Technology",COAUTHORED_WITH
"University of Southern Mississippi","East Carolina University",COAUTHORED_WITH
